Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,174.1199951171875,174.8699951171875,173.17999267578125,174.7899932861328,170.79124450683594,1841300
2021-01-04,175.0,176.1999969482422,170.5500030517578,171.8699951171875,167.9380645751953,2996200
2021-01-05,172.00999450683594,173.25,170.64999389648438,171.5800018310547,167.65469360351562,2295300
2021-01-06,172.72000122070312,175.57000732421875,172.0399932861328,174.19000244140625,170.20498657226562,3346400
2021-01-07,171.55999755859375,173.4600067138672,166.16000366210938,169.72000122070312,165.8372344970703,5863400
2021-01-08,169.1699981689453,169.5399932861328,164.61000061035156,166.6199951171875,162.8081512451172,4808100
2021-01-11,166.10000610351562,167.13999938964844,165.0,165.1999969482422,161.420654296875,2736600
2021-01-12,165.89999389648438,167.17999267578125,164.0800018310547,166.50999450683594,162.70066833496094,2949100
2021-01-13,167.27000427246094,167.74000549316406,166.0500030517578,166.27999877929688,162.4759521484375,2098000
2021-01-14,167.27000427246094,167.36000061035156,165.22999572753906,166.41000366210938,162.6029815673828,2895400
2021-01-15,165.6300048828125,166.25999450683594,163.3800048828125,165.5500030517578,161.76263427734375,3550700
2021-01-19,167.25999450683594,169.5500030517578,166.8000030517578,169.1199951171875,165.25096130371094,3903200
2021-01-20,169.0399932861328,170.5800018310547,168.42999267578125,170.22000122070312,166.32582092285156,2672300
2021-01-21,170.22000122070312,171.49000549316406,169.38999938964844,170.6699981689453,166.7655029296875,2688200
2021-01-22,170.1999969482422,170.1999969482422,167.24000549316406,169.0399932861328,165.1727752685547,2349300
2021-01-25,168.8800048828125,172.49000549316406,168.22999572753906,170.38999938964844,166.49191284179688,3353100
2021-01-26,173.77999877929688,176.83999633789062,172.0800018310547,175.9499969482422,171.92471313476562,5148900
2021-01-27,177.30999755859375,187.27000427246094,177.16000366210938,186.64999389648438,182.3799285888672,8097000
2021-01-28,185.0,186.5800018310547,182.5800018310547,183.4199981689453,179.22381591796875,4153700
2021-01-29,182.2899932861328,182.97999572753906,174.8699951171875,175.66000366210938,171.641357421875,4217200
2021-02-01,175.97000122070312,177.11000061035156,173.97000122070312,174.6999969482422,170.7033233642578,2569700
2021-02-02,176.25,177.52999877929688,174.85000610351562,175.02000427246094,171.01600646972656,2844400
2021-02-03,175.3800048828125,177.44000244140625,173.5500030517578,175.47999572753906,171.4654541015625,2874200
2021-02-04,175.7899932861328,177.2899932861328,175.50999450683594,177.10000610351562,173.0484161376953,1833000
2021-02-05,177.60000610351562,179.22999572753906,176.6999969482422,179.00999450683594,174.91470336914062,1822400
2021-02-08,179.3000030517578,180.8699951171875,179.1699981689453,180.75999450683594,176.6246795654297,2355100
2021-02-09,181.22000122070312,181.89999389648438,180.17999267578125,180.94000244140625,176.80055236816406,1942800
2021-02-10,181.8800048828125,182.3800048828125,180.63999938964844,181.0800018310547,176.93734741210938,1929000
2021-02-11,179.35000610351562,179.8800048828125,175.83999633789062,177.2100067138672,174.58279418945312,2188400
2021-02-12,177.27000427246094,178.83999633789062,177.2100067138672,178.6999969482422,176.05068969726562,1081500
2021-02-16,179.0,179.69000244140625,176.32000732421875,176.6300048828125,174.0113983154297,1834000
2021-02-17,176.0500030517578,177.3000030517578,175.13999938964844,176.64999389648438,174.0310821533203,1578100
2021-02-18,177.25,179.6699981689453,176.14999389648438,179.3699951171875,176.71075439453125,2087100
2021-02-19,179.57000732421875,180.77000427246094,176.1999969482422,176.5399932861328,173.92271423339844,2986800
2021-02-22,176.4600067138672,177.08999633789062,175.00999450683594,176.1199951171875,173.50894165039062,2271500
2021-02-23,177.5399932861328,177.5399932861328,174.7100067138672,176.1699981689453,173.55819702148438,2352300
2021-02-24,176.0,177.97999572753906,173.75999450683594,177.6300048828125,174.99656677246094,2742600
2021-02-25,177.52000427246094,180.75,177.42999267578125,178.75999450683594,176.10980224609375,2634300
2021-02-26,179.44000244140625,179.4499969482422,174.61000061035156,175.05999755859375,172.4646453857422,3363300
2021-03-01,175.6999969482422,177.5,175.6999969482422,176.41000366210938,173.79464721679688,1840000
2021-03-02,177.0,177.7899932861328,174.7899932861328,177.11000061035156,174.48426818847656,2272400
2021-03-03,177.42999267578125,180.02000427246094,176.8000030517578,178.05999755859375,175.42018127441406,2267800
2021-03-04,179.2899932861328,180.17999267578125,174.07000732421875,177.6300048828125,174.99656677246094,3535700
2021-03-05,178.4499969482422,181.55999755859375,176.9499969482422,180.8000030517578,178.1195526123047,2262800
2021-03-08,180.99000549316406,185.6999969482422,180.92999267578125,183.77000427246094,181.04554748535156,2574900
2021-03-09,183.5,184.14999389648438,181.02000427246094,181.17999267578125,178.49391174316406,2842100
2021-03-10,182.3699951171875,185.3800048828125,181.41000366210938,184.50999450683594,181.77455139160156,2370700
2021-03-11,183.1300048828125,185.07000732421875,182.10000610351562,184.57000732421875,181.83367919921875,2377300
2021-03-12,185.61000061035156,186.2100067138672,184.27000427246094,184.9199981689453,182.17848205566406,2691600
2021-03-15,186.02999877929688,189.6300048828125,185.7100067138672,189.47999572753906,186.67086791992188,3300000
2021-03-16,188.0,188.4600067138672,185.97999572753906,186.85000610351562,184.0798797607422,2264000
2021-03-17,187.3300018310547,189.99000549316406,187.0500030517578,188.3000030517578,185.5083770751953,2585100
2021-03-18,188.60000610351562,192.08999633789062,188.60000610351562,191.0,188.1683349609375,3050500
2021-03-19,190.60000610351562,191.0,188.69000244140625,188.7100067138672,185.9123077392578,6678900
2021-03-22,188.25999450683594,189.75999450683594,187.00999450683594,189.47000122070312,186.66102600097656,2605300
2021-03-23,188.77000427246094,191.7100067138672,187.89999389648438,188.3300018310547,185.5379180908203,2768700
2021-03-24,188.42999267578125,192.74000549316406,188.0800018310547,190.69000244140625,187.86294555664062,2829200
2021-03-25,191.63999938964844,193.36000061035156,190.1699981689453,193.10000610351562,190.23721313476562,2221000
2021-03-26,193.00999450683594,194.9499969482422,192.2100067138672,194.8800048828125,191.99082946777344,2677600
2021-03-29,193.6199951171875,196.72000122070312,193.50999450683594,195.74000549316406,192.83807373046875,2601800
2021-03-30,194.97999572753906,196.6300048828125,193.8800048828125,194.63999938964844,191.75437927246094,1876700
2021-03-31,193.94000244140625,194.42999267578125,192.0500030517578,192.67999267578125,189.82342529296875,2426900
